Date,Close/Last,Volume,Open,High,Low
11/29/2022,$118.38,6277578,$120.14,$121.37,$118.32
11/28/2022,$119.54,7089098,$122.16,$123.45,$118.845
11/25/2022,$123.45,3153811,$124.86,$125.36,$123.4
11/23/2022,$125.15,5481482,$123.54,$127.035,$123.29
11/22/2022,$123.65,7010166,$120.84,$123.79,$120.03
11/21/2022,$120.2,8204212,$121.09,$122.5,$120.1
11/18/2022,$123.85,6436642,$124.04,$124.49,$122.13
11/17/2022,$122.86,7281360,$118.95,$123.115,$118.71
11/16/2022,$120.73,9561722,$123.2,$123.84,$119.96
11/15/2022,$126.02,12470180,$125.65,$128.125,$123.42
11/14/2022,$120.8,6971004,$120.74,$123.21,$120.26
11/11/2022,$121.43,9433817,$118.99,$122.1598,$118.99
11/10/2022,$120.68,11673190,$115.91,$121,$114.525
11/09/2022,$110.43,9581279,$111.46,$113.505,$110.27
11/08/2022,$112.54,9383559,$111.57,$114.89,$109.92
11/07/2022,$110.09,7570837,$107.48,$110.28,$106.26
11/04/2022,$106.69,11977930,$106.61,$107.5,$104.3304
11/03/2022,$103.88,24706110,$104.38,$106.5,$101.93
11/02/2022,$112.5,13936310,$118.71,$118.79,$112.25
11/01/2022,$117.33,5749063,$119.74,$120.63,$116.75
10/31/2022,$117.66,6870809,$118.13,$118.38,$115.4
10/28/2022,$119.21,9418673,$114.17,$119.45,$112.33
10/27/2022,$114.7,8937212,$119.315,$120.6,$114.38
10/26/2022,$118.11,7354985,$118.04,$120.74,$116.16
10/25/2022,$119.17,6205073,$116.57,$119.94,$116.225
10/24/2022,$116.38,6525680,$116.34,$117.0211,$114.24
10/21/2022,$115.74,7490087,$111.75,$115.99,$111.02
10/20/2022,$111.98,7736402,$113.165,$116.09,$111.72
10/19/2022,$112.85,5620199,$110.86,$113.67,$110.75
10/18/2022,$111.21,8908873,$114.95,$116.0885,$109.54
10/17/2022,$111.59,7886423,$113.92,$114.48,$110.61
10/14/2022,$109.95,7997634,$114.63,$114.99,$109.79
10/13/2022,$112.86,10455000,$105.38,$115.2,$104.66
10/12/2022,$108.64,6987880,$110.32,$110.8,$108.38
10/11/2022,$110.03,10758810,$112,$112.49,$108.65
10/10/2022,$114.6,9512641,$120.59,$121.04,$113.45
10/07/2022,$120.91,8618545,$122.62,$124.11,$120.32
10/06/2022,$125.28,6238604,$124.51,$127.209,$124.4
10/05/2022,$124.89,7070311,$120.88,$125.56,$120.53
10/04/2022,$122.37,6637248,$120.4,$122.45,$120.32
10/03/2022,$117.22,7481733,$114.99,$118.3168,$113.665
09/30/2022,$112.98,7568126,$113.76,$116.28,$112.92
09/29/2022,$114.84,12125790,$117.28,$117.47,$113.46
09/28/2022,$118.93,11321160,$118.58,$120.45,$117.78
09/27/2022,$120.34,5544423,$121.56,$122.6778,$118.75
09/26/2022,$119.74,6424637,$121.54,$123.18,$119.59
09/23/2022,$121.19,10681290,$122.34,$122.68,$119.05
09/22/2022,$123.68,8752975,$124.75,$125.16,$122.47
09/21/2022,$124.62,8123668,$125.44,$129.79,$124.5
09/20/2022,$124.77,5672744,$125.74,$126.55,$123.89
09/19/2022,$126.65,5922656,$123.62,$127.18,$123.41
09/16/2022,$124.95,13818500,$124.12,$125.74,$123.045
09/15/2022,$124.98,7459628,$126.7,$128.0845,$124.23
09/14/2022,$127.53,7509299,$126.27,$127.9,$125.5
09/13/2022,$124.93,9610889,$128.38,$129.9,$124.49
09/12/2022,$133,7081303,$133,$134.22,$132.32
09/09/2022,$132.05,5100116,$130.68,$132.61,$130.3082
09/08/2022,$128.85,6618782,$127.47,$129.8,$125.9
09/07/2022,$128.6,5340100,$127.47,$129.78,$126.37
09/06/2022,$126.67,6674208,$128.84,$129.52,$126.21
09/02/2022,$128.48,6121409,$131.64,$132.67,$127.56
09/01/2022,$129.92,8716270,$129.98,$130.13,$126.0833
08/31/2022,$132.27,8701117,$133.79,$134.17,$131.3
08/30/2022,$134.41,6147355,$137.8,$138.3,$132.94
08/29/2022,$137.08,6852263,$137.81,$139.13,$136.11
08/26/2022,$138.38,7918641,$146.16,$147.36,$138.05
08/25/2022,$146.25,5618848,$142.34,$147,$142.02
08/24/2022,$141.31,5113128,$140.25,$141.71,$138.61
08/23/2022,$140.72,4499332,$142.09,$143.61,$140.56
08/22/2022,$141.61,6736816,$145.3,$145.8106,$141.1
08/19/2022,$147.6,5400320,$149.29,$150.38,$146.9
08/18/2022,$151.38,7808233,$148.07,$152.91,$147.76
08/17/2022,$148.53,5169594,$148.23,$149.63,$146.36
08/16/2022,$150.03,5270822,$151.45,$152.49,$148.85
08/15/2022,$152.13,4502857,$150.32,$152.7,$148.395
08/12/2022,$151.29,4967492,$148,$151.47,$147.18
08/11/2022,$147.83,6243214,$148.31,$151.64,$147.02
08/10/2022,$146.99,6839997,$145.85,$147.18,$143.69
08/09/2022,$142.51,6770803,$145.59,$146.5,$141.31
08/08/2022,$147.81,5564307,$149.81,$151.19,$146.55
08/05/2022,$150.21,5041315,$148.57,$151.2834,$147.67
08/04/2022,$151.01,6254693,$148.68,$151.16,$147.7089
08/03/2022,$149.16,6890200,$147.66,$150.335,$146.59
08/02/2022,$147.03,5946415,$145.69,$149.4,$144.84
08/01/2022,$147.43,7611417,$144.31,$149.46,$144.07
07/29/2022,$145.06,11749400,$144.595,$145.31,$140.67
07/28/2022,$146.45,17050980,$149.78,$149.99,$143
07/27/2022,$153.42,12863030,$151.525,$154.8,$150.55
07/26/2022,$149.97,5941787,$152.62,$152.7,$149.81
07/25/2022,$153.25,4928925,$152.8,$154.04,$151.671
07/22/2022,$153.7,7200136,$155.66,$156.66,$152.35
07/21/2022,$155.86,8060419,$152.88,$155.92,$150.63
07/20/2022,$151.71,8517374,$147.43,$152.33,$146.62
07/19/2022,$147.37,9686500,$144.14,$148.47,$143.175
07/18/2022,$141.69,7856599,$145.97,$146.43,$140.82
07/15/2022,$144.37,11880450,$143.76,$145.48,$142.03
07/14/2022,$141.9,10718680,$134.94,$142.35,$133.85
07/13/2022,$135.64,7200225,$130.55,$136.78,$130.52
07/12/2022,$132.95,5991262,$133.74,$135.35,$131.96
07/11/2022,$132.24,5898175,$133.59,$134.595,$131.32
07/08/2022,$136.01,8393153,$132.52,$136.39,$131.62
07/07/2022,$134.4,9408097,$130.65,$134.71,$130.26
07/06/2022,$127.06,6038378,$126.06,$128.23,$125.055
07/05/2022,$125.83,8115934,$121.1,$126.17,$120.36
07/01/2022,$123.53,7672790,$125.75,$126.76,$122.1
06/30/2022,$127.74,9277889,$127.61,$130.09,$125.325
06/29/2022,$130.23,9973261,$130.08,$131.57,$126.895
06/28/2022,$131.6,27113340,$129.78,$136.45,$126.6
06/27/2022,$127.18,9947329,$126.2,$130.04,$125.44
06/24/2022,$125.1,8127978,$122.38,$125.37,$121.76
06/23/2022,$120.09,7908863,$122.75,$122.93,$118.225
06/22/2022,$122.16,9085270,$121.8,$123.6591,$120.36
06/21/2022,$124.39,9208493,$123.77,$126.1199,$123.72
06/17/2022,$120.99,17273380,$121.42,$122.8292,$118.36
06/16/2022,$120.82,16422780,$126.26,$126.65,$119.025
06/15/2022,$131.03,7859981,$131.67,$133.28,$128.21
06/14/2022,$130.26,6794716,$130.21,$131.93,$128.82
06/13/2022,$128.66,12320870,$130.59,$131.35,$126.6
06/10/2022,$133.2,8549763,$134.75,$136.06,$132.42
06/09/2022,$136.71,7153218,$137.77,$140.44,$136.69
06/08/2022,$138.96,6772968,$140.746,$141.761,$137.45
06/07/2022,$141.89,6062812,$139.13,$142.15,$138.49
06/06/2022,$140.44,7238659,$144.95,$144.97,$139.92
06/03/2022,$141.22,7458863,$142.18,$143.44,$140.61
06/02/2022,$146.2,9589501,$140.26,$146.25,$139.7
06/01/2022,$140.02,8514309,$142.55,$143.91,$138.17
05/31/2022,$143.22,16007250,$139.5,$143.965,$137.44
